STT,Mã mảnh,Tên mảnh,Tên đoạn,Chiều dài (mm),Số lượng,Cắt bằng,Số lượng dự kiến,Số lượng đã cắt,SL Tồn kho,Lỗ dập,Lỗ tán,Lỗ khoan,Uốn,Ghi chú
1,PHOI-I3.1.1,Khung tựa,V15 (1 tán),425,100,Laser,0,0,0,0,0,0,,
2,PHOI-I3.1.2,Tay trái,V15 (2 tán),420,300,Laser,0,0,0,0,0,0,,
3,PHOI-I3.1.4,Mê ngồi,V15 (1 dập),445,200,Laser,0,0,0,0,0,0,,
4,PHOI-I3.1.4,Mê ngồi,V15 (2 dập),400,200,Laser,0,0,0,0,0,0,,
5,PHOI-I3.1.4,Mê ngồi,V15 (1 dập),175,200,Laser,0,0,0,0,0,0,,
6,PHOI-I3.2.1,Mặt bàn,V15 (2 dập),367,50,Laser,0,0,0,0,0,0,,
7,PHOI-I3.2.1,Mặt bàn,V15,367,50,Laser,0,0,0,0,0,0,,
8,PHOI-I3.2.2,Hông bàn,V15,324,200,Laser,0,0,0,0,0,0,,
9,PHOI-I3.2.2,Hông bàn,V15 (4 dập),330,200,Laser,0,0,0,0,0,0,,
10,PHOI-I3.2.3,Chân bàn,V15 (2 tán),367,200,Laser,0,0,0,0,0,0,,
11,PHOI-I3.2.3,Chân bàn,V15,397,200,Laser,0,0,0,0,0,0,,
12,PHOI-I5.1.1,Khung tựa đôi,V15,850,100,Laser,0,0,0,0,0,0,,
13,PHOI-I5.1.2,Tay trái ghế đôi,V15,420,600,Laser,0,0,0,0,0,0,,
14,PHOI-I5.1.4,Mê ngồi ghế đôi,V15,870,200,Laser,0,0,0,0,0,0,,
15,PHOI-I5.1.4,Mê ngồi ghế đôi,V15,400,700,Laser,0,0,0,0,0,0,,
16,PHOI-I5.1.4,Mê ngồi ghế đôi,V15,175,600,Laser,0,0,0,0,0,0,,
17,PHOI-I5.2.1,Khung tựa đơn,V15,425,200,Laser,0,0,0,0,0,0,,
18,PHOI-I5.2.4,Mê ngồi đơn,V15,445,400,Laser,0,0,0,0,0,0,,
19,PHOI-I5.3.1,Chân bàn,V15,365,200,Laser,0,0,0,0,0,0,,
20,PHOI-I5.3.1,Chân bàn,V15,405,100,Laser,0,0,0,0,0,0,,
21,PHOI-I5.3.1,Chân bàn,V15,375,100,Laser,0,0,0,0,0,0,,
22,PHOI-I5.3.2,Hông bàn,V15,665,200,Laser,0,0,0,0,0,0,,
23,PHOI-I5.3.2,Hông bàn,V15,145,400,Laser,0,0,0,0,0,0,,
